portfolio,borrower_count,actual_default_rate,avg_pd,avg_lgd,total_ead,avg_ead,total_expected_loss,avg_expected_loss,total_expected_interest_income,avg_expected_interest_income,total_risk_adjusted_return,avg_risk_adjusted_return
Eligible Portfolio,11799,0.13746927705737774,0.3262666580155777,0.5813941587697248,160863325,13633.640562759556,31055998.492670204,2632.0873372887704,18968850.442500003,1607.6659413933387,-12087148.050170206,-1024.4213958954324
Optimized Portfolio,5000,0.0768,0.19239954282542027,0.5613568687520245,56814975,11362.995,4634155.964563876,926.8311929127752,5074426.5275,1014.8853055,440270.5629361236,88.05411258722472
