risk_band,borrower_count,actual_default_rate,total_lgd,avg_lgd,total_ead,avg_ead,total_expected_loss,avg_expected_loss,total_risk_adjusted_return,avg_risk_adjusted_return
Very Low,8000,0.048625,4334.087002947764,0.5417608753684705,108462950,13557.86875,9032942.203081768,1129.117775385221,-234478.29808176748,-29.309787260220936
Low,8000,0.1075,4572.033717544855,0.5715042146931069,101339225,12667.403125,17101898.649296425,2137.737331162053,-5719008.226796424,-714.876028349553
Medium,8000,0.184125,4790.79714187164,0.5988496427339549,108561100,13570.1375,27535157.966330655,3441.894745791332,-12971543.941330653,-1621.4429926663315
High,8000,0.263875,4998.268620681983,0.6247835775852478,122673975,15334.246875,43350500.57177415,5418.812571471768,-24089426.64427415,-3011.1783305342688
Very High,8000,0.503375,5221.813230111463,0.6527266537639329,139505050,17438.13125,69516145.0220143,8689.518127751788,-43402893.85951431,-5425.361732439289
