loan_decision,borrower_count,actual_default_rate,total_lgd,avg_lgd,total_ead,avg_ead,total_expected_loss,avg_expected_loss,total_risk_adjusted_return,avg_risk_adjusted_return,total_expected_interest_income,avg_expected_interest_income
Approve,3799,0.03922084759147144,2069.0725374523454,0.5446360983028021,52302225,13767.36641221374,3520840.5263395533,926.7808703183873,884395.8911604468,232.79702320622448,4405236.4175,1159.577893524612
Manual Review,8000,0.184125,4790.79714187164,0.5988496427339549,108561100,13570.1375,27535157.966330655,3441.894745791332,-12971543.941330653,-1621.4429926663315,14563614.025,1820.451753125
Reject,28201,0.25665756533456263,17057.13003383372,0.6048413188835049,419678975,14881.705435977448,135480645.9198271,4804.107865672391,-74330202.9198271,-2635.729332996245,61150443.0,2168.3785326761463
