model,accuracy,precision,recall,f1_score,roc_auc
LightGBM,0.69605,0.39184048274957367,0.6742663656884876,0.4956442379490583,0.7624621711313213
Random Forest Classifier,0.6568,0.35719314714855666,0.6871331828442437,0.47004323656578134,0.7329930982340004
Logistic Regression,0.60865,0.299563370309181,0.5730248306997743,0.393443893366398,0.6358500386371314
