grade,defaulted_loan_count,avg_realized_lgd,avg_realized_loss,avg_ead
A,460,0.5310557807186557,7011.446304347825,13186.79347826087
B,1704,0.5589518652533966,7761.744125586854,13588.292253521127
C,2924,0.6114906458112932,9378.598331053352,14892.886456908345
D,1997,0.6470119166432405,10760.132438657987,16226.95292939409
E,1159,0.6956483248063247,12972.271803278689,18428.51596203624
F,439,0.7160951130879827,13736.755079726652,18962.015945330295
G,177,0.7664190906075927,15456.646327683615,20283.19209039548
