grade,borrower_count,actual_default_rate,total_lgd,avg_lgd,total_ead,avg_ead,total_expected_loss,avg_expected_loss,total_risk_adjusted_return,avg_risk_adjusted_return,total_expected_interest_income,avg_expected_interest_income
A,2513,0.03183446080382014,1334.5431769459817,0.5310557807186557,35624200,14175.964982093115,1815813.0745168198,722.5678768471229,617943.8229831803,245.89885514651027,2433756.8975,968.4667319936331
B,1335,0.08164794007490636,746.2007401132844,0.5589518652533966,15159125,11355.149812734082,1583937.3621972862,1186.469934230177,105423.90280271378,78.96921558255714,1689361.265,1265.439149812734
C,713,0.16269284712482468,435.99283046345204,0.6114906458112932,4129675,5791.970546984572,766616.3866347992,1075.1982982255247,-172495.53413479912,-241.92922038541252,594120.8525,833.2690778401122
D,332,0.1897590361445783,214.80795632555586,0.6470119166432405,1481850,4463.403614457831,352435.6463080171,1061.5531515301718,-87886.11380801711,-264.71721026511176,264549.5325,796.8359412650601
E,75,0.10666666666666667,52.17362436047435,0.6956483248063247,292100,3894.6666666666665,78525.79210644944,1047.010561419326,-17057.354606449444,-227.43139475265926,61468.43749999999,819.5791666666665
F,29,0.2413793103448276,20.766758279551496,0.7160951130879826,89225,3076.7241379310344,26770.857150492404,923.1330051893932,-5520.454650492403,-190.3605051893932,21250.4025,732.7725
G,3,0.3333333333333333,2.2992572718227784,0.7664190906075928,38800,12933.333333333334,10056.84565001246,3352.2818833374863,-137.7056500124601,-45.9018833374867,9919.14,3306.3799999999997
