feature,mean_abs_shap
sub_grade_F5,0.0
sub_grade_F4,0.0
sub_grade_F3,0.0
sub_grade_F2,0.0
sub_grade_E5,0.0
sub_grade_risk_rank,0.0
sub_grade_E4,0.0
sub_grade_E3,0.0
sub_grade_E1,0.0
sub_grade_D5,0.0
sub_grade_D4,0.0
sub_grade_D1,0.0
sub_grade_C4,0.0
sub_grade_C3,0.0
sub_grade_C2,0.0
emp_length_4 years,0.0
sub_grade_B1,0.0
emp_length_6 years,0.0
emp_length_9 years,0.0
delinq_rank,0.0
addr_state_AR,0.0
addr_state_AL,0.0
purpose_wedding,0.0
pub_rec_rank,0.0
purpose_renewable_energy,0.0
financial_stability_score,0.0
term_ 60 months,0.0
grade_B,0.0
purpose_house,0.0
purpose_educational,0.0
grade_E,0.0
grade_F,0.0
grade_G,0.0
sub_grade_A4,0.0
home_ownership_OTHER,0.0
home_ownership_NONE,0.0
sub_grade_A5,0.0
emp_length_< 1 year,0.0
sub_grade_B2,0.0
