grade,borrower_count,actual_default_rate,total_lgd,avg_lgd,total_ead,avg_ead,total_expected_loss,avg_expected_loss,total_risk_adjusted_return,avg_risk_adjusted_return
A,6741,0.0682391336596944,3579.847017824458,0.5310557807186557,93471175,13866.069574247143,8801780.744086683,1305.7084622588166,-2135849.9040866834,-316.8446675696015
B,11515,0.14798089448545376,6436.330728392862,0.5589518652533966,151690400,13173.287016934433,29839881.35396918,2591.392214847519,-13643109.98896918,-1184.811983410263
C,11544,0.2532917532917533,7059.048015245568,0.6114906458112932,165048100,14297.305959805959,51990482.631011814,4503.68006159146,-28776647.533511814,-2492.7795853700463
D,6072,0.3288866930171278,3928.6563578577566,0.6470119166432405,94568300,15574.489459815546,38062167.60350069,6268.472925477715,-21217955.178500686,-3494.393145339375
E,2877,0.40285019117135906,2001.380230467796,0.6956483248063247,51301550,17831.61279110184,24675893.96929242,8576.953065447487,-13778699.106792424,-4789.259334999105
F,935,0.46951871657754013,669.5489307372638,0.7160951130879827,17717900,18949.625668449196,9274417.349005217,9919.162940112532,-4848408.526505217,-5185.463664711462
G,316,0.560126582278481,242.1884326319993,0.7664190906075927,6744875,21344.541139240508,3892020.761631301,12316.521397567409,-2016680.7316313013,-6381.901049466143
