risk_band,borrower_count,default_count,default_rate,min_pd_score,max_pd_score,avg_pd_score
Very Low,8000,389,0.048625,0.02587991813744052,0.23087959699219976,0.15508979484560212
Low,8000,860,0.1075,0.23093182646644186,0.35871431972255907,0.2948192836704163
Medium,8000,1473,0.184125,0.3587159707269999,0.4866739072138954,0.42203140865980304
High,8000,2111,0.263875,0.4866836405969168,0.6413092393417954,0.5604836219261042
Very High,8000,4027,0.503375,0.6413487194471738,0.9676158275067718,0.7579680787214809
